Postcode;Borough;Neighbourhood;Latitude;Longitude
M1B;Scarborough;Rouge;43.8066863;-79.19435
M1C;Scarborough;Port Union, Rouge Hill, Highland Creek;43.7845351;-79.16049
M1E;Scarborough;West Hill, Morningside, Guildwood;43.7635726;-79.18871
M1G;Scarborough;Woburn;43.7709921;-79.21691
M1H;Scarborough;Cedarbrae;43.773136;-79.239476
M1J;Scarborough;Scarborough Village;43.7447342;-79.23947
M1K;Scarborough;Kennedy Park, Ionview, East Birchmount Park;43.7279292;-79.26202
M1L;Scarborough;Oakridge, Golden Mile, Clairlea;43.7111117;-79.28457
M1M;Scarborough;Scarborough Village West, Cliffside, Cliffcrest;43.716316;-79.239476
M1N;Scarborough;Cliffside West, Birch Cliff;43.692657;-79.264848
M1P;Scarborough;Wexford Heights, Scarborough Town Centre, Dorset Park;43.7574096;-79.27330
M1R;Scarborough;Maryvale;43.7500715;-79.29584
M1S;Scarborough;Agincourt;43.7942003;-79.26202
M1T;Scarborough;Tam O'Shanter, Sullivan, Clarks Corners;43.7816375;-79.30430
M1V;Scarborough;Steeles East, Milliken, L'Amoreaux East;43.8152522;-79.28457
M1W;Scarborough;L'Amoreaux West;43.7995252;-79.31838
M1X;Scarborough;Upper Rouge;43.8361247;-79.20563
M2H;North York;Hillcrest Village;43.8037622;-79.36345
M2J;North York;Oriole, Henry Farm, Fairview;43.7785175;-79.34655
M2K;North York;Bayview Village;43.7869473;-79.38597
M2L;North York;York Mills, Silver Hills;43.7574902;-79.37471
M2M;North York;Willowdale, Newtonbrook;43.789053;-79.408492
M2N;North York;Willowdale South;43.7701199;-79.40849
M2P;North York;York Mills West;43.7527583;-79.40004
M2R;North York;Willowdale West;43.7827364;-79.44225
M3A;North York;Parkwoods;43.7532586;-79.32965
M3B;North York;Don Mills North;43.7459058;-79.35218
M3C;North York;Don Mills South, Flemingdon Park;43.7258997;-79.34092
M3H;North York;Wilson Heights, Downsview North, Bathurst Manor;43.7543283;-79.44225
